exp_down_x,exp_down_y,exp_up_x,exp_up_y,x
0.0000028612303,0.051344743,-0.00143,0.0416,0
0,0.35452323,0,-0.11,0.01
-0.0028612303,0.78973105,0,-0.34,0.02
0,1.0195599,0.00286,-0.462,0.03
0.0014306152,1.1320293,0.00572,-0.584,0.04
0.0057224607,1.0586797,0.00429,-0.677,0.05
0.0071530758,0.94132029,0.00572,-0.76,0.06
0.011444921,0.84352078,0.0129,-0.853,0.07
0.012875536,0.75061125,0.0143,-0.922,0.08
0.017167382,0.63325183,0.0157,-0.976,0.09
0.025751073,0.55501222,0.0186,-1.06,0.1
0.038626609,0.42787286,0.03,-1.14,0.15
0.050071531,0.32518337,0.0501,-1.19,0.2
0.074391989,0.21760391,0.0715,-1.16,0.25
0.15164521,0.026894866,0.1,-1.1,0.3
0.20171674,-0.06601467,0.15,-1.08,0.35
0.25608011,-0.14914425,0.196,-1.08,0.4
0.29613734,-0.22738386,0.22,-1.08,0.41
0.32331903,-0.27139364,0.255,-1.12,0.42
0.35050072,-0.30562347,0.299,-1.16,0.43
0.3776824,-0.3202934,0.351,-1.17,0.44
0.39914163,-0.33496333,0.399,-1.21,0.45
0.42775393,-0.29095355,0.448,-1.23,0.46
0.45493562,-0.26650367,0.499,-1.27,0.47
0.47925608,-0.23227384,0.525,-1.3,0.48
0.49785408,-0.18826406,0.549,-1.13,0.49
0.54363376,-0.11491443,0.574,-0.756,0.5
0.58655222,-0.041564792,0.602,-0.643,0.51
0.63519313,0.046454768,0.622,-0.575,0.52
0.67811159,0.095354523,0.651,-0.491,0.53
0.74678112,0.17848411,0.68,-0.433,0.54
0.77968526,0.19315403,0.701,-0.394,0.55
0.80114449,0.24205379,0.748,-0.301,0.56
0.8297568,0.25183374,0.801,-0.213,0.57
0.85264664,0.26650367,0.85,-0.13,0.58
0.88412017,0.29584352,0.897,-0.0367,0.59
0.91845494,0.29095355,0.948,0.0611,0.6
0.94420601,0.30562347,0.994,0.139,0.65
0.96995708,0.28117359,1,0.183,0.7
0.97854077,0.26161369,,,0.75
0.99427754,0.21760391,,,0.8
1,0.17848411,,,0.85
,,,,0.9
,,,,0.95
,,,,0.96
,,,,0.97
,,,,0.98
,,,,0.99
,,,,1
